iter	Passed	Remaining
690	656371	768458
691	657297	767479
692	658175	766447
693	659145	765520
694	660041	764508
695	661032	763606
696	661927	762593
697	662909	761681
698	663860	760732
699	664913	759901
700	665879	758969
701	666815	758003
702	667774	757063
703	668754	756148
704	669780	755283
705	670711	754313
706	671633	753331
707	672539	752332
708	673476	751367
709	674456	750452
710	675383	749476
711	676337	748530
712	677346	747646
713	678321	746723
714	679245	745745
715	680227	744830
716	681227	743935
717	682198	743007
718	683055	741955
719	683982	740981
720	684925	740023
721	685934	739137
722	686931	738237
723	687941	737351
724	688984	736500
725	689939	735555
726	690880	734595
727	691868	733684
728	692808	732722
729	693770	731784
730	694751	730867
731	695677	729890
732	696608	728920
733	697565	727977
734	698466	726975
735	699373	725980
736	700313	725019
737	701338	724146
738	702292	723199
739	703241	722247
740	704157	721262
741	705159	720364
742	706086	719391
743	707017	718421
744	708039	717543
745	709022	716625
746	709936	715638
747	710884	714686
748	711829	713730
749	712800	712800
750	713832	711931
751	714772	710970
752	715726	710023
753	716607	709004
754	717537	708033
755	718474	707069
756	719516	706209
757	720639	705428
758	721649	704535
759	722628	703612
760	723599	702680
761	724594	701772
762	725581	700856
763	726556	699929
764	727426	698899
765	728372	697944
766	729302	696973
767	730240	696010
768	731118	694990
769	732106	694075
770	733078	693144
771	734097	692257
772	735048	691306
773	735985	690342
774	737010	689461
775	737906	688458
776	738875	687524
777	739807	686556
778	740734	685583
779	741644	684594
780	742744	683781
781	743669	682806
782	744680	681910
783	745614	680943
784	746560	679988
785	747515	679040
786	748463	678086
787	749513	677225
788	750471	676280
789	751345	675260
790	752429	674428
791	753411	673504
792	754367	672556
793	755347	671630
794	756340	670716
795	757227	669708
796	758217	668791
797	759131	667807
798	760091	666863
799	761060	665927
800	762123	665073
801	763157	664194
802	764131	663261
803	765144	662364
804	766222	661521
805	767117	660520
806	768049	659551
807	768999	658598
808	769991	657681
809	771111	656872
810	772098	655950
811	773018	654971
812	773921	653977
813	774880	653032
814	775837	652084
815	776836	651171
816	777942	650348
817	778880	649384
818	779842	648440
819	780792	647486
820	781670	646473
821	782831	645692
822	783742	644707
823	784698	643757
824	785699	642845
825	786634	641878
826	787529	640879
827	788504	639945
828	789630	639133
829	790633	638222
830	791686	637350
831	792716	636460
832	793651	635493
833	794649	634576
834	795600	633622
835	796574	632686
836	797552	631752
837	798459	630764
838	799350	629762
839	800382	628872
840	801386	627959
841	802324	626994
842	803262	626030
843	804413	625231
844	805366	624277
